dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
sexta,Final,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sexta,Final,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sexta,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 10-22"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Inicio,Buscar,"borda sim","refrigerante nao","vl 30-34","tp 33-44"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 44-55"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 14-18","tp 33-44"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Inicio,Buscar,"borda nao","refrigerante sim","vl 38-42","tp 33-44"
sábado,Inicio,Entrega,"borda sim","refrigerante nao","vl 34-38","tp 22-33"
sábado,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"borda sim","refrigerante nao","vl 26-30","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Pico,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sábado,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 22-33"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 44-55"
sábado,Pico,Buscar,"borda sim","refrigerante nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 44-55"
sábado,Final,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 22-33"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Final,Entrega,"borda nao","refrigerante sim","vl 22-26","tp 44-55"
